Name,Price,Reviews,Size,Category,Rating,bath-personal-care,beauty,grocery,healthy-home,pets,sports-nutrition,supplements
"Doctor's Best, Collagen Types 1 and 3 with Peptan and Vitamin C, 1,000 mg, 180 Tablets",21.85,6986.0,0.0,supplements,4.6,0,0,0,0,0,0,1
"Thompson, Zinc Picolinate, 25 mg, 60 Tablets",8.26,6190.0,0.025,supplements,4.8,0,0,0,0,0,0,1
"21st Century, VitaJoy Melatonin Gummies, 5 mg, 120 Gummies",13.91,1398.0,0.005,supplements,4.6,0,0,0,0,0,0,1
"Life Extension, Taurine, 1,000 mg, 90 Vegetarian Capsules",15.22,2718.0,0.0,supplements,4.9,0,0,0,0,0,0,1
"Natrol, Melatonin, Advanced Sleep, Time Release, 10 mg, 60 Tablets",14.03,6995.0,0.01,supplements,4.4,0,0,0,0,0,0,1
"California Gold Nutrition, L-Glutamine Powder, AjiPure, Gluten Free, 16 oz (454 g)",24.97,4711.0,454.0,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, Glutathione, 500 mg, 60 Veg Capsules",40.76,5128.0,0.5,supplements,4.5,0,0,0,0,0,0,1
"Rejuvicare, Super Collagen, Collagen Hydrolysate, 500 mg, 90 Capsules",10.53,3031.0,0.5,supplements,4.6,0,0,0,0,0,0,1
"California Gold Nutrition, Baby's DHA, Omega-3s with Vitamin D3, 1050 mg, 2 fl oz (59 ml)",15.61,12321.0,1.05,supplements,4.8,0,0,0,0,0,0,1
"Solgar, Gentle Iron, 25 mg, 90 Vegetable Capsules",15.05,22087.0,0.025,supplements,4.8,0,0,0,0,0,0,1
"21st Century, Fish Oil, 1,000 mg, 300 Softgels",19.7,8177.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"21st Century, Magnesium, 250 mg, 110 Tablets",3.46,14621.0,0.25,supplements,4.6,0,0,0,0,0,0,1
"21st Century, Quick Dissolve Melatonin, Cherry Flavor, 10 mg, 120 Tablets",11.6,3414.0,0.01,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, L-Lysine, 1,000 mg, 100 Tablets",12.04,8222.0,0.0,supplements,4.8,0,0,0,0,0,0,1
"Aurora Nutrascience, Mega-Liposomal Glutathione+, Plus Vitamin C, Organic Fruit Flavor, 750 mg, 16 fl oz (480 ml)",78.02,2077.0,0.75,supplements,4.7,0,0,0,0,0,0,1
"Thorne Research, Zinc Picolinate, 15 mg, 60 Capsules",17.17,6090.0,0.015,supplements,4.9,0,0,0,0,0,0,1
"Now Foods, Potassium Citrate, 99 mg, 180 Veg Capsules",11.1,3705.0,0.099,supplements,4.7,0,0,0,0,0,0,1
"Solaray, Magnesium Citrate, 133 mg, 180 VegCaps",17.62,6079.0,0.133,supplements,4.7,0,0,0,0,0,0,1
"Doctor's Best, Alpha-Lipoic Acid, 600 mg, 60 Veggie Caps",19.24,6796.0,0.6,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, D-Mannose, 500 mg, 120 Veg Capsules",23.71,4325.0,0.5,supplements,4.8,0,0,0,0,0,0,1
"Solgar, Ester-C Plus, Vitamin C,  500 mg, 100 Vegetable Capsules",19.87,9561.0,0.5,supplements,4.9,0,0,0,0,0,0,1
"Now Foods, Maca, 500 mg, 100 Veg Capsules",12.04,10904.0,0.5,supplements,4.5,0,0,0,0,0,0,1
"Solgar, Gentle Iron, 25 mg, 180 Vegetable Capsules",25.9,22087.0,0.025,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Omega 3-6-9, 1,000 mg, 250 Softgels",27.79,4779.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"Nature's Bounty, Ester-C, 1,000 mg, 120 Vegetarian Coated Tablets",26.88,6326.0,0.0,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Astaxanthin, 4 mg, 60 Veggie Softgels",14.81,3574.0,0.004,supplements,4.6,0,0,0,0,0,0,1
"21st Century, Melatonin, 5 mg, 120 Tablets",9.25,3355.0,0.005,supplements,4.6,0,0,0,0,0,0,1
"21st Century, Potassium Gluconate, 595 mg, 110 Tablets",3.46,3634.0,0.595,supplements,4.5,0,0,0,0,0,0,1
"Sports Research, Omega-3 Fish Oil, Triple Strength, 1,250 mg, 30 Softgels",15.22,23531.0,0.25,supplements,4.7,0,0,0,0,0,0,1
"Neocell, Super Collagen Peptides, Unflavored, 7 oz (200 g)",23.19,7337.0,200.0,supplements,4.4,0,0,0,0,0,0,1
"Now Foods, Indole-3-Carbinol, 200 mg, 60 Veg Capsules",24.08,7494.0,0.2,supplements,4.7,0,0,0,0,0,0,1
"California Gold Nutrition, Gold C Powder, Vitamin C, 1,000 mg, 8.81 oz (250 g)",9.84,4957.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"Natrol, Melatonin, Time Release, 3 mg, 100 Tablets",12.47,2698.0,0.003,supplements,4.5,0,0,0,0,0,0,1
"California Gold Nutrition, Buffered Gold C, Non-Acidic Vitamin C Powder, Sodium Ascorbate, 8.40 oz (238 g)",14.2,4181.0,238.0,supplements,4.8,0,0,0,0,0,0,1
"American Health, Ester-C, 500 mg, 90 Vegetarian Tablets",15.98,7695.0,0.5,supplements,4.9,0,0,0,0,0,0,1
"Jarrow Formulas, Extra Virgin Coconut Oil, 16 fl oz (473 g)",13.58,22419.0,473.0,supplements,4.8,0,0,0,0,0,0,1
"Doctor's Best, Lutein with Lutemax 2020, 20 mg, 180 Softgels",48.1,5409.0,0.02,supplements,4.6,0,0,0,0,0,0,1
"Carlson Labs, Kid's Norwegian, The Very Finest Fish Oil, Natural Lemon, 800 mg, 6.7 fl oz (200 ml)",33.09,8085.0,0.8,supplements,4.9,0,0,0,0,0,0,1
"Mamma Chia, Organic Chia Seed, 12 oz (340 g)",8.2,16727.0,340.0,supplements,4.8,0,0,0,0,0,0,1
"Vital Proteins, Collagen Peptides, Unflavored, 10 oz (284 g)",39.02,9083.0,284.0,supplements,4.8,0,0,0,0,0,0,1
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 180 Capsules",62.9,6510.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"Doctor's Best, High Absorption Magnesium 100% Chelated with Albion Minerals, 100 mg, 120 Tablets",14.88,46835.0,0.1,supplements,4.7,0,0,0,0,0,0,1
"21st Century, Vitamin E, 180 mg (400 IU), 110 Softgels",8.08,5521.0,0.18,supplements,4.7,0,0,0,0,0,0,1
"Now Foods, Niacin, 500 mg, 100 Capsules",9.25,1699.0,0.5,supplements,4.4,0,0,0,0,0,0,1
"Natrol, Melatonin, Fast Dissolve, Extra Strength, Strawberry, 5 mg, 90 Tablets",12.47,1367.0,0.005,supplements,4.7,0,0,0,0,0,0,1
"Doctor's Best, High Absorption Magnesium, Lysinate Glycinate 100% Chelated, 52.5 mg, 120 Veggie Caps",17.49,898.0,0.0525,supplements,4.8,0,0,0,0,0,0,1
"Solaray, Vitamin C, Time Release, 500 mg, 100 VegCaps",8.68,3285.0,0.5,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Certified Organic Inulin, Prebiotic Pure Powder, 8 oz (227 g)",12.04,4837.0,227.0,supplements,4.6,0,0,0,0,0,0,1
"Natrol, Melatonin, Fast Dissolve, Extra Strength, Strawberry, 5 mg, 150 Tablets",20.27,1801.0,0.005,supplements,4.7,0,0,0,0,0,0,1
"Natrol, Melatonin, Extra Strength, 5 mg, 60 Tablets",12.47,2086.0,0.005,supplements,4.4,0,0,0,0,0,0,1
"Now Foods, Double Strength L-Theanine, 200 mg, 120 Veg Capsules",34.09,1820.0,0.2,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, L-OptiZinc, 30 mg, 100 Veg Capsules",9.25,1750.0,0.03,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, Saw Palmetto Berries, 550 mg, 250 Veg Capsules",23.16,2739.0,0.55,supplements,4.5,0,0,0,0,0,0,1
"Nature's Bounty, Gentle Iron, 28 mg, 90 Capsules",11.12,3229.0,0.028,supplements,4.7,0,0,0,0,0,0,1
"Solgar, Naturally Sourced Vitamin E, 67 mg (100 IU), 100 Softgels",10.59,3405.0,0.067,supplements,4.8,0,0,0,0,0,0,1
"Natrol, Cranberry, Fast Dissolve, Cranberry Flavor, 250 mg, 120 Tablets",14.03,303.0,0.25,supplements,4.5,0,0,0,0,0,0,1
"Source Naturals, Coenzyme Q10, 100 mg, 60 Capsules",19.02,551.0,0.1,supplements,4.7,0,0,0,0,0,0,1
"Garden of Life, Organic, Dr. Formulated Probiotics Fitbiotic, Unflavored, 20 Packets, 0.15 oz (4.2 g) Each",53.77,91.0,4.2,supplements,4.4,0,0,0,0,0,0,1
"Natrol, Alpha Lipoic Acid, Time Release, 600 mg, 45 Tablets",18.71,872.0,0.6,supplements,4.3,0,0,0,0,0,0,1
"Ener-C, Vitamin C, Multivitamin Drink Mix, Raspberry, 30 Packets, 9.8 oz (278.4 g)",20.1,324.0,278.4,supplements,4.7,0,0,0,0,0,0,1
"Solaray, Magnesium Glycinate, 100 mg, 120 VegCaps",18.48,9768.0,0.1,supplements,4.8,0,0,0,0,0,0,1
